,name,tags
132,"Complan Nutrition and Health Drink Creamy Classic 500g, Refill pack with power of 100% Milk Protein and contrains 34 Vital...",grocery & gourmet foods grocery & gourmet foods 4.3 ₹244 ₹249
133,"Gits Open & Eat Rasgulla Tin, 16 Pieces per Can, Mouth-Watering Indian Mithai, 1Kg",grocery & gourmet foods grocery & gourmet foods 3.8 ₹210 ₹220
134,True Elements Antioxidant Seeds Mix 250g - Seeds for Eating | Diet Snacks | Roasted Mix Seeds,grocery & gourmet foods grocery & gourmet foods 4.3 ₹269 ₹295
135,SFT Sunflower Seeds 1 Kg,grocery & gourmet foods grocery & gourmet foods 4.1 ₹382 ₹465
136,"The Laughing Cow Creamy Cheese Triangles | 5 Essential Vitamins, Mineral & Protein | Goodness of Cow's Milk | 24 Creamy Ch...",grocery & gourmet foods grocery & gourmet foods 4.5 ₹364 ₹405
137,"LAZXS Lavazza Gusto Crema, Roasted Coffee Beans, 500g, Bag",grocery & gourmet foods grocery & gourmet foods 4.2 ₹425 ₹500
138,Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 1P x 25 Cookies Individually Wrapped - 156 Gram - Non-GMO Project Ver...,grocery & gourmet foods grocery & gourmet foods 4.2 ₹249 ₹279
139,Horlicks Health and Nutrition drink - 500 g Pet Jar (Chocolate flavor),grocery & gourmet foods grocery & gourmet foods 4.3 ₹248 ₹249
140,"Haldiram’s Kesar Gujia Desi Ghee Bag, 400 g",grocery & gourmet foods grocery & gourmet foods 3.7 ₹354 ₹545
141,"Haldiram's Nagpur Bhel Puri, 150g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹50 ₹55
142,Safe Harvest Pesticide-Free Goodness Mung Dal | Natural & Delicious | No Artificial Flavors - 1kg,grocery & gourmet foods grocery & gourmet foods 4.4 ₹144 ₹240
143,"Saffola Masala Oats, Classic Masala, 39g",grocery & gourmet foods grocery & gourmet foods 4.4 ₹14.14 ₹15
144,"Lindt Lindor Assorted Chocolate Truffles Box, 200g",grocery & gourmet foods grocery & gourmet foods 3.5 ₹559 ₹800
145,"NESTLE GOLD Crunchy Oats & Corn Flakes, Crunchy Oats and Corn Flakes Breakfast Cereal with Immuno-Nutrients | Made with Wh...",grocery & gourmet foods grocery & gourmet foods 4.4 ₹316 ₹370
146,"RiteBite Max Protein Daily Choco Almond 10g Protein Bars [Pack of 24] Protein Blend, Fiber, Vitamins & Minerals , No Prese...","grocery & gourmet foods grocery & gourmet foods 4.4 ₹1,394 ₹1,680"
147,"More Choice Tamarind, 200g",grocery & gourmet foods grocery & gourmet foods 4.2 ₹199 ₹249
148,Flyberry Gourmet Medjoul/Mejdool Dates 1kg | Jumbo Size | Mejdool Khajur | Alternative to Sugar | Best For Kids & Adults |...,"grocery & gourmet foods grocery & gourmet foods 4.3 ₹1,999 ₹2,599"
149,"JIWA healthy by nature Steel Cut Oats, 1 Kg (Gluten Free)",grocery & gourmet foods grocery & gourmet foods 4.3 ₹225 ₹300
150,Saffola FITTIFY Tasty Peanut Butter | Dark Chocolaty | Extra Crunchy | High Protein | High Fiber | Vegan| No Trans Fat | 925g,grocery & gourmet foods grocery & gourmet foods 4.2 ₹274 ₹549
151,"Amazon Brand - Vedaka SOYA Chunks, 500 g",grocery & gourmet foods grocery & gourmet foods 4.2 ₹89 ₹110
152,Pillsbury Gold Madhya Pradesh Sharbati Whole Wheat Atta | Upto 6 hours of Softness| 5kg,grocery & gourmet foods grocery & gourmet foods 4.3 ₹259 ₹315
153,"Thanjai Natural Almond Gum Badam Pisin Badam Gum Best First Quality Pure, Natural 250 Grams",grocery & gourmet foods grocery & gourmet foods 4.2 ₹170 ₹349
154,"Happilo Classic Peanut Butter Creamy 1kg, Roasted Peanuts, No Added Sugar, Rich in Protein, Premium Non GMO Slow Roasted P...",grocery & gourmet foods grocery & gourmet foods 4.8 ₹279 ₹495
